@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data/beck-s-abridged,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1710,189,21,168,0,11.111111,88.888889,0,0.07566,0.021562,0.104078,97.480021,99.020014,1094.293916,1000.651122,93.642794,5.789915,5.29445,0.495465,157.736372,0.834584,2693.344308,0,0,0,0,1,185,1,4,0,0,0,0.923649,0.111111,0.035691,0.964309,0.888889,0.034092,0.111111,0.050937,0.717069,0.017914,0.111111,0.181,3.669,0.18,3.48,3737099,9017700,1052223,97.354497,70.34632,?
data/beck-s-abridged,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,30,160,0,15.789474,84.210526,0,0.126813,0.021462,0.103624,97.005996,98.56361,1102.856899,1005.670804,97.186095,5.80451,5.293004,0.511506,167.431959,0.881221,2859.579765,0,0,0,0,1,186,1,4,0,0,0,0.74328,0.157895,0.030963,0.969037,0.842105,0.053428,0.157895,0.076943,0.719938,0.029512,0.157895,0.174,3.626,0.17,3.45,3737099,9012463,1057460,96.842105,70.436603,?
data/beck-s-abridged,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,30,160,0,15.789474,84.210526,0,0.123313,0.021384,0.103148,96.65447,98.111796,1104.519559,978.087744,126.431815,5.813261,5.14783,0.665431,167.536506,0.881771,2861.809682,0,0,0,0,1,186,1,4,0,0,0,0.758737,0.157895,0.034502,0.965498,0.842105,0.140987,0.157895,0.090844,0.735504,0.028433,0.157895,0.169,3.833,0.17,3.64,3737099,9012463,1057460,97.368421,70.083732,?
data/beck-s-abridged,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,21,169,0,11.052632,88.947368,0,0.07496,0.021479,0.103507,97.095751,98.464699,1103.824275,995.720937,108.103338,5.809601,5.240637,0.568965,161.25314,0.848701,2754.272802,0,0,0,0,1,186,1,4,0,0,0,0.854167,0.110526,0.035221,0.964779,0.889474,0.127346,0.110526,0.06401,0.717428,0.019128,0.110526,0.199,3.763,0.2,3.58,3737099,9012463,1057460,97.368421,70.885167,?
data/beck-s-abridged,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,28,162,0,14.736842,85.263158,0,0.114703,0.021367,0.10306,96.566705,98.013888,1104.145232,999.95412,104.191112,5.811291,5.262916,0.548374,177.623225,0.934859,3034.020303,0,0,0,0,1,186,1,4,0,0,0,0.893145,0.147368,0.032702,0.967298,0.852632,0.07318,0.147368,0.07609,0.711834,0.027649,0.147368,0.187,3.656,0.18,3.49,3737099,9012463,1057460,93.157895,70.544258,?
data/beck-s-abridged,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,32,158,0,16.842105,83.157895,0,0.133772,0.021316,0.103262,96.341733,98.212989,1101.662659,974.712581,126.950078,5.798225,5.130066,0.668158,175.328502,0.922782,2994.102463,0,0,0,0,1,186,1,4,0,0,0,0.75336,0.168421,0.034333,0.965667,0.831579,0.091198,0.168421,0.096627,0.740743,0.03307,0.168421,0.179,3.708,0.17,3.53,3737099,9012463,1057460,96.842105,70.125598,?
data/beck-s-abridged,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,30,160,0,15.789474,84.210526,0,0.119121,0.021446,0.103441,96.933191,98.386016,1101.575559,971.327623,130.247936,5.797766,5.112251,0.685515,185.229191,0.97489,3163.139348,0,0,0,0,1,186,1,4,0,0,0,0.763441,0.157895,0.038997,0.961003,0.842105,0.144024,0.157895,0.09089,0.754965,0.030327,0.157895,0.178,3.755,0.18,3.57,3737099,9012463,1057460,98.421053,70.944976,?
data/beck-s-abridged,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,31,159,0,16.315789,83.684211,0,0.127585,0.021409,0.103145,96.739079,98.075086,1103.697166,979.405804,124.291362,5.808932,5.154767,0.654165,176.339518,0.928103,3011.957308,0,0,0,0,1,186,1,4,0,0,0,0.77621,0.163158,0.036044,0.963956,0.836842,0.073687,0.163158,0.091874,0.748883,0.034857,0.163158,0.179,3.667,0.18,3.48,3737099,9012463,1057460,98.421053,71.070574,?
data/beck-s-abridged,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,26,164,0,13.684211,86.315789,0,0.103928,0.021423,0.103724,96.812847,98.639628,1103.365645,1008.761486,94.604159,5.807188,5.309271,0.497917,163.32281,0.859594,2789.497182,0,0,0,0,1,186,1,4,0,0,0,0.739247,0.136842,0.032847,0.967153,0.863158,0.163701,0.136842,0.086637,0.705453,0.035818,0.136842,0.172,3.679,0.17,3.49,3737099,9012463,1057460,93.684211,69.892344,?
data/beck-s-abridged,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,25,165,0,13.157895,86.842105,0,0.096698,0.021448,0.103656,96.920223,98.567113,1107.023813,984.494018,122.529795,5.826441,5.181547,0.644894,181.922374,0.957486,3108.257329,0,0,0,0,1,186,1,4,0,0,0,0.740591,0.131579,0.035289,0.964711,0.868421,0.044583,0.131579,0.063306,0.743018,0.025072,0.131579,0.19,3.645,0.19,3.46,3737099,9012463,1057460,97.894737,70.97488,?
